Run: 001
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
 1.0385894561    ,2    ,11    ,5    ,3    ,27    ,19    ,Reaction1
 1.0514551980    ,1    ,11    ,4    ,3    ,27    ,20    ,Reaction2
 1.0906465564    ,0    ,11    ,3    ,3    ,27    ,21    ,Reaction2
 1.1389133866    ,1    ,10    ,3    ,3    ,28    ,21    ,Reaction1
 1.1420026604    ,0    ,10    ,2    ,3    ,28    ,22    ,Reaction2
 1.1972750954    ,1    ,9    ,2    ,3    ,29    ,22    ,Reaction1
 1.1973290379    ,2    ,8    ,2    ,3    ,30    ,22    ,Reaction1
 1.2567530977    ,0    ,8    ,2    ,4    ,30    ,22    ,ReactionN
 1.4152809429    ,1    ,7    ,2    ,4    ,31    ,22    ,Reaction1
 1.5614257496    ,2    ,6    ,2    ,4    ,32    ,22    ,Reaction1
 1.6170550027    ,3    ,5    ,2    ,4    ,33    ,22    ,Reaction1
 1.6183469038    ,2    ,5    ,1    ,4    ,33    ,23    ,Reaction2
 1.7300977915    ,3    ,4    ,1    ,4    ,34    ,23    ,Reaction1
 1.8867171577    ,4    ,3    ,1    ,4    ,35    ,23    ,Reaction1
 1.9618695983    ,2    ,3    ,1    ,5    ,35    ,23    ,ReactionN
 2.0441124492    ,3    ,2    ,1    ,5    ,36    ,23    ,Reaction1
 2.1261495033    ,1    ,2    ,1    ,6    ,36    ,23    ,ReactionN
 2.1767530185    ,2    ,1    ,1    ,6    ,37    ,23    ,Reaction1
 2.1801158037    ,1    ,1    ,0    ,6    ,37    ,24    ,Reaction2
 3.8827916275    ,2    ,0    ,0    ,6    ,38    ,24    ,Reaction1
 3.8969477165    ,0    ,0    ,0    ,7    ,38    ,24    ,ReactionN
 100.0000000000    ,0    ,0    ,0    ,7    ,38    ,24    ,TimeMax
 ####
 Run: 003
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
0.0000000000    ,0    ,38    ,24    ,0    ,0    ,0    ,TimeZero
 0.0117483845    ,1    ,37    ,24    ,0    ,1    ,0    ,Reaction1
 0.0157054629    ,0    ,37    ,23    ,0    ,1    ,1    ,Reaction2
 0.0582516461    ,1    ,36    ,23    ,0    ,2    ,1    ,Reaction1
 0.0632843597    ,2    ,35    ,23    ,0    ,3    ,1    ,Reaction1
 0.0656146359    ,1    ,35    ,22    ,0    ,3    ,2    ,Reaction2
 0.0774464424    ,2    ,34    ,22    ,0    ,4    ,2    ,Reaction1
 0.0893307672    ,1    ,34    ,21    ,0    ,4    ,3    ,Reaction2
 0.1015187368    ,0    ,34    ,20    ,0    ,4    ,4    ,Reaction2
 0.1463611392    ,1    ,33    ,20    ,0    ,5    ,4    ,Reaction1
 0.1474191003    ,2    ,32    ,20    ,0    ,6    ,4    ,Reaction1
 0.1642893342    ,3    ,31    ,20    ,0    ,7    ,4    ,Reaction1
 0.1773760287    ,2    ,31    ,19    ,0    ,7    ,5    ,Reaction2
 0.1789489305    ,1    ,31    ,18    ,0    ,7    ,6    ,Reaction2
 0.1835644934    ,2    ,30    ,18    ,0    ,8    ,6    ,Reaction1
 0.2108024973    ,3    ,29    ,18    ,0    ,9    ,6    ,Reaction1
 0.2441766131    ,2    ,29    ,17    ,0    ,9    ,7    ,Reaction2
 0.2505004758    ,3    ,28    ,17    ,0    ,10    ,7    ,Reaction1
 0.2614111509    ,4    ,27    ,17    ,0    ,11    ,7    ,Reaction1
 0.2713118164    ,3    ,27    ,16    ,0    ,11    ,8    ,Reaction2
 0.2728273788    ,4    ,26    ,16    ,0    ,12    ,8    ,Reaction1
 0.2737616760    ,2    ,26    ,16    ,1    ,12    ,8    ,ReactionN
 0.2795025762    ,1    ,26    ,15    ,1    ,12    ,9    ,Reaction2
 0.2827388495    ,0    ,26    ,14    ,1    ,12    ,10    ,Reaction2
 0.3073892473    ,1    ,25    ,14    ,1    ,13    ,10    ,Reaction1
 0.3730455364    ,2    ,24    ,14    ,1    ,14    ,10    ,Reaction1
 0.3770856113    ,3    ,23    ,14    ,1    ,15    ,10    ,Reaction1
 0.3922243787    ,2    ,23    ,13    ,1    ,15    ,11    ,Reaction2
 0.4131318561    ,3    ,22    ,13    ,1    ,16    ,11    ,Reaction1
 0.4292845401    ,2    ,22    ,12    ,1    ,16    ,12    ,Reaction2
 0.4631871990    ,3    ,21    ,12    ,1    ,17    ,12    ,Reaction1
 0.4665343927    ,2    ,21    ,11    ,1    ,17    ,13    ,Reaction2
 0.5248827193    ,0    ,21    ,11    ,2    ,17    ,13    ,ReactionN
 0.5269036267    ,1    ,20    ,11    ,2    ,18    ,13    ,Reaction1
 0.5431919190    ,0    ,20    ,10    ,2    ,18    ,14    ,Reaction2
 0.7642522826    ,1    ,19    ,10    ,2    ,19    ,14    ,Reaction1
 0.8145764346    ,2    ,18    ,10    ,2    ,20    ,14    ,Reaction1
 0.8203947400    ,1    ,18    ,9    ,2    ,20    ,15    ,Reaction2
 0.8270170234    ,2    ,17    ,9    ,2    ,21    ,15    ,Reaction1
 0.8580956259    ,1    ,17    ,8    ,2    ,21    ,16    ,Reaction2
 0.8868337364    ,2    ,16    ,8    ,2    ,22    ,16    ,Reaction1
 0.9069812914    ,3    ,15    ,8    ,2    ,23    ,16    ,Reaction1
 0.9132344086    ,2    ,15    ,7    ,2    ,23    ,17    ,Reaction2
 0.9269686373    ,1    ,15    ,6    ,2    ,23    ,18    ,Reaction2
 0.9816040163    ,2    ,14    ,6    ,2    ,24    ,18    ,Reaction1
 1.0480713942    ,3    ,13    ,6    ,2    ,25    ,18    ,Reaction1
 1.1039616469    ,1    ,13    ,6    ,3    ,25    ,18    ,ReactionN
 1.1665971382    ,2    ,12    ,6    ,3    ,26    ,18    ,Reaction1
 1.1738257231    ,1    ,12    ,5    ,3    ,26    ,19    ,Reaction2
 1.3700425565    ,0    ,12    ,4    ,3    ,26    ,20    ,Reaction2
 1.5085647338    ,1    ,11    ,4    ,3    ,27    ,20    ,Reaction1
 1.5571014731    ,0    ,11    ,3    ,3    ,27    ,21    ,Reaction2
 1.5992659798    ,1    ,10    ,3    ,3    ,28    ,21    ,Reaction1
 1.6332235907    ,2    ,9    ,3    ,3    ,29    ,21    ,Reaction1
 1.6421399162    ,3    ,8    ,3    ,3    ,30    ,21    ,Reaction1
 1.6481435600    ,2    ,8    ,2    ,3    ,30    ,22    ,Reaction2
 1.7057410522    ,3    ,7    ,2    ,3    ,31    ,22    ,Reaction1
 1.7061575677    ,4    ,6    ,2    ,3    ,32    ,22    ,Reaction1
 1.7260866214    ,3    ,6    ,1    ,3    ,32    ,23    ,Reaction2
 1.8167127645    ,2    ,6    ,0    ,3    ,32    ,24    ,Reaction2
 1.9118172921    ,0    ,6    ,0    ,4    ,32    ,24    ,ReactionN
 2.2501509062    ,1    ,5    ,0    ,4    ,33    ,24    ,Reaction1
 2.3068556152    ,2    ,4    ,0    ,4    ,34    ,24    ,Reaction1
 2.3069413983    ,3    ,3    ,0    ,4    ,35    ,24    ,Reaction1
 2.3357824474    ,1    ,3    ,0    ,5    ,35    ,24    ,ReactionN
 2.5330953195    ,2    ,2    ,0    ,5    ,36    ,24    ,Reaction1
 2.5386949739    ,0    ,2    ,0    ,6    ,36    ,24    ,ReactionN
 4.0863051803    ,1    ,1    ,0    ,6    ,37    ,24    ,Reaction1
 4.7734008544    ,2    ,0    ,0    ,6    ,38    ,24    ,Reaction1
 6.3849677296    ,0    ,0    ,0    ,7    ,38    ,24    ,ReactionN
 100.0000000000    ,0    ,0    ,0    ,7    ,38    ,24    ,TimeMax
 ####
 Run: 004
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
0.0000000000    ,0    ,38    ,24    ,0    ,0    ,0    ,TimeZero
 0.0968690007    ,1    ,37    ,24    ,0    ,1    ,0    ,Reaction1
 0.1913891521    ,2    ,36    ,24    ,0    ,2    ,0    ,Reaction1
 0.1968735656    ,1    ,36    ,23    ,0    ,2    ,1    ,Reaction2
 0.2021594028    ,2    ,35    ,23    ,0    ,3    ,1    ,Reaction1
 0.2202883547    ,1    ,35    ,22    ,0    ,3    ,2    ,Reaction2
 0.2590865270    ,0    ,35    ,21    ,0    ,3    ,3    ,Reaction2
 0.2926813005    ,1    ,34    ,21    ,0    ,4    ,3    ,Reaction1
 0.3087478415    ,2    ,33    ,21    ,0    ,5    ,3    ,Reaction1
 0.3225919849    ,3    ,32    ,21    ,0    ,6    ,3    ,Reaction1
 0.3294146521    ,2    ,32    ,20    ,0    ,6    ,4    ,Reaction2
 0.3383116864    ,1    ,32    ,19    ,0    ,6    ,5    ,Reaction2
 0.3777871180    ,2    ,31    ,19    ,0    ,7    ,5    ,Reaction1
 0.3779076812    ,3    ,30    ,19    ,0    ,8    ,5    ,Reaction1
 0.3834177656    ,4    ,29    ,19    ,0    ,9    ,5    ,Reaction1
 0.4058608313    ,3    ,29    ,18    ,0    ,9    ,6    ,Reaction2
 0.4357461740    ,4    ,28    ,18    ,0    ,10    ,6    ,Reaction1
 0.4401870098    ,2    ,28    ,18    ,1    ,10    ,6    ,ReactionN
 0.4502301712    ,3    ,27    ,18    ,1    ,11    ,6    ,Reaction1
